fecha,menores de 18 años,18 a 29 años,30 a 39 años,40 a 49 años,50 a 59 años,60 años y más,mujeres,hombres,el alto,la paz,área rural,johnson & johnson,Unnamed: 13,Unnamed: 14,Unnamed: 15
2021-06-02,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-03,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-04,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-05,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-06,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-07,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-08,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-09,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-10,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-11,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-12,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-13,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-14,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-15,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-16,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-17,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-18,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-19,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-20,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-21,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-22,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-23,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-24,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-25,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-26,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-27,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-28,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-29,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-06-30,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-07-01,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-07-02,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-07-03,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-07-04,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-07-05,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-07-06,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-07-07,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-07-08,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-07-09,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-07-10,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-07-11,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-07-12,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-07-13,0,0,0,0,0,0,0,0,0,0,0,0,,,
2021-07-14,0,106,50,19,6,1,86,96,0,0,182,182,,,
